LAD19NM,LAD19CD
Rushcliffe,E07000176
Amber Valley,E07000032
Bolsover,E07000033
Chesterfield,E07000034
Derbyshire Dales,E07000035
Erewash,E07000036
High Peak,E07000037
North East Derbyshire,E07000038
South Derbyshire,E07000039
Derby,E06000015
Leicester,E06000016
Rutland,E06000017
Nottingham,E06000018
Blaby,E07000129
Charnwood,E07000130
Harborough,E07000131
Hinckley and Bosworth,E07000132
Melton,E07000133
North West Leicestershire,E07000134
Oadby and Wigston,E07000135
Boston,E07000136
East Lindsey,E07000137
Lincoln,E07000138
North Kesteven,E07000139
South Holland,E07000140
South Kesteven,E07000141
West Lindsey,E07000142
Corby,E07000150
Daventry,E07000151
East Northamptonshire,E07000152
Kettering,E07000153
Northampton,E07000154
South Northamptonshire,E07000155
Wellingborough,E07000156
Ashfield,E07000170
Bassetlaw,E07000171
Broxtowe,E07000172
Gedling,E07000173
Mansfield,E07000174
Newark and Sherwood,E07000175
